Website,Name,Price,Unprice,Sale,Promotion,Summary,Status,Brand,price_range,Type
https://philong.com.vn,camera wifi dahua imou cue 2 c22ep 2.0mp,790000,1.100.000 đ,28,Khuyến mại:,"Độ phân giải 2.0MP (1920x1080)
Tich hợp Micro và loa đàm thoại 2 chiều
Ống kính cố định, G Tầm xa hồng ngoại 10m
Có khe thẻ nhớ MicroSD hỗ trợ tối đa 256GB
Tích hợp còi báo động 
Phát hiện chuyển động, cảnh báo âm thanh bất thường
Human detection: Phát hiện người",1,dahua,Under 1M,camera wifi
https://philong.com.vn,"máy in laser màu đa năng brother dcp-l3551cdw (in màu a4 2 mặt, có in wifi)",10500000,10500000 đ,0,Khuyến mại: Tặng Balo Rivacase trị giá 590.000,"Máy in laser màu, copy, scan
 
Tốc độ in: 18 trang/phút
 
In 2 mặt tự động
 
Độ phân giải 2400x600 dpi
 
Kết nối: USB 2.0, Network, Wi-fi
 
Dùng mực TN-263BK/CMY",0,brother,10M to 15M,máy in laser màu đa năng
https://philong.com.vn,máy in nhãn brother p-touch pt-e500vp (nhãn tze),7990000,8.000.000 đ,0,Không có,"Máy in tem nhãn cầm tay kết nối máy tính
Tốc độ in : 30mm/giây (sử dụng nguồn AC Adapter), 20mm/giây (sử dụng pin)
Bàn phím : Qwerty với phím bấm cao su
LCD : 15 ký tự x 2 dòng, đèn nền màn hình
Cắt nhãn : tự động
Kiểu băng : Băng TZe (dính), HGe, HSe
Cỡ băng (mm) : 3.5, 6, 9, 12, 18, 24mm",0,brother,5M to 10M,máy in nhãn
https://philong.com.vn,vỏ case máy tính corsair 175r carbide series mid tower black (cc-9011171-ww),0,0 đ,0,Không có,"Case Dimensions: 418mm x 210mm x 450mm
Maximum GPU Length: 330mm
Maximum PSU Length: 180mm
Maximum CPU Cooler Height: 160mm
Case Expansion Slots: 7
Case Drive Bays: ”(x2) 3.5in (x2) 2.5in”
Case Material: Steel, Tempered Glass",0,corsair,,vỏ case máy tính
https://philong.com.vn,bộ nhớ ram desktop ddr4 4gb bus 2666mhz kingston,450000,690.000 đ,35,Không có,Không có,0,kingston,Under 1M,bộ nhớ ram desktop ddr4 4gb bus 2666mhz
https://philong.com.vn,củ sạc iphone/ipad apple 18w usb-c power adapter mu7v2 chính hãng,0,0 đ,0,Không có,"Sạc nhanh cho Iphone/Ipad
Hàng chính hãng nguyên Seal",0,apple,,củ sạc iphone/ipad
https://philong.com.vn,"adapter sạc apple 30w usb-c power mr2a2, chính hãng, màu trắng",1450000,1450000 đ,0,Không có,Không có,0,apple,1M to 5M,adapter sạc
https://philong.com.vn,"bộ sạc ipad/macbook usb-c apple 61w power adapter mrw22 chính hãng, màu trắng",2190000,2.490.000 đ,12,Không có,"iPad Pro 11-inchiPad Pro 12.9-inch (3rd Generation)MacBook (Retina, 12-inch, Early 2015 - 2017)MacBook Air (Retina, 13-inch, 2018 and later)MacBook Pro (13-inch, 2016 and later)Không kèm cáp",0,apple,1M to 5M,bộ sạc ipad/macbook usb-c
https://philong.com.vn,bộ sạc macbook air apple 45w magafe 2 power adapter (md592) chính hãng,2350000,2.550.000 đ,8,Không có,"Sạc cho các loại sau:
MacBook Air (13-inch, Early 2015 - 2017)
MacBook Air (11-inch, Early 2015)",0,apple,1M to 5M,bộ sạc macbook air
https://philong.com.vn,"máy in nhãn brother ptouth ql-1100nwb (lan, wifi)",12500000,12500000 đ,0,Không có,"Tốc độ in 69 nhãn /phút.
Khổ rộng nhãn : 103.88 mm.
Loại nhãn hỗ trợ : DK, EK khổ 102mm
Bộ nhớ : 7MB.
Chế độ cắt : tự động.
Hỗ trợ in mã vạch (Barcode).
Kết nối PC qua cáp USB, RJ45, Bluetooth, WiFi.
In trực tiếp từ điện thoại.",0,brother,10M to 15M,máy in nhãn
